model_id,family,data_mode,candidate_rank,source_optimizer,source_trial,seed,valid_relative_l2_horizon_time,valid_relative_l2_mean,finite_relative_l2_fraction
perc_latent8,perc,latent8,8,forest,57,9403107,20.1,1.3253069094755596,0.8842424242424243
perc_latent8,perc,latent8,8,forest,57,9403108,7.2,1.2402998644428305,0.1763636363636363
perc_latent8,perc,latent8,8,forest,57,9403109,7.7,1.290727762016197,0.1442424242424242
perc_latent8,perc,latent8,8,forest,57,9403110,7.7,0.5441999609971275,0.0537373737373737
perc_latent8,perc,latent8,8,forest,57,9403111,6.800000000000001,1.2887673354056457,1.0
perc_latent8,perc,latent8,8,forest,57,9403112,7.0,0.9970511428642358,0.0662626262626262
perc_latent8,perc,latent8,8,forest,57,9403113,6.9,1.421472640022123,0.2907070707070707
perc_latent8,perc,latent8,8,forest,57,9403114,7.4,0.5576343709127333,0.064040404040404
perc_latent8,perc,latent8,8,forest,57,9403115,17.3,1.1719319883548571,0.1058585858585858
perc_latent8,perc,latent8,9,forest,90,9403101,8.200000000000001,1.307260301859664,0.2597979797979798
perc_latent8,perc,latent8,9,forest,90,9403102,16.7,1.3848984563342024,0.4371717171717171
perc_latent8,perc,latent8,9,forest,90,9403103,15.5,0.9809242155304913,0.0658585858585858
perc_latent8,perc,latent8,9,forest,90,9403104,20.8,1.3789166415958038,0.7482828282828283
perc_latent8,perc,latent8,9,forest,90,9403105,7.4,1.2815828180750268,0.6278787878787879
perc_latent8,perc,latent8,9,forest,90,9403106,19.3,0.5409401137039634,0.0569696969696969
perc_latent8,perc,latent8,9,forest,90,9403107,22.200000000000003,0.5368455218587178,0.0721212121212121
perc_latent8,perc,latent8,9,forest,90,9403108,7.800000000000001,0.5286083686693667,0.0553535353535353
perc_latent8,perc,latent8,9,forest,90,9403109,7.9,1.3094311098583022,0.2165656565656565
perc_latent8,perc,latent8,9,forest,90,9403110,7.7,1.3776541820727897,0.3092929292929293
perc_latent8,perc,latent8,9,forest,90,9403111,7.5,0.5205177545003263,0.0587878787878787
perc_latent8,perc,latent8,9,forest,90,9403112,8.9,0.854051892860994,0.0644444444444444
perc_latent8,perc,latent8,9,forest,90,9403113,9.0,1.3239440242902454,0.5658585858585858
perc_latent8,perc,latent8,9,forest,90,9403114,7.2,1.2463697764180222,1.0
perc_latent8,perc,latent8,9,forest,90,9403115,22.6,0.4054983670046612,0.0525252525252525
perc_latent8,perc,latent8,10,forest,66,9403101,7.2,1.1737122996260148,0.1206060606060606
perc_latent8,perc,latent8,10,forest,66,9403102,8.3,0.5187520758467026,0.0519191919191919
perc_latent8,perc,latent8,10,forest,66,9403103,17.1,0.8532063145139833,0.0612121212121212
perc_latent8,perc,latent8,10,forest,66,9403104,8.1,0.7473717968035604,0.0785858585858585
perc_latent8,perc,latent8,10,forest,66,9403105,6.300000000000001,0.8900707500039782,0.0694949494949495
perc_latent8,perc,latent8,10,forest,66,9403106,7.1000000000000005,0.8793671304542752,0.087070707070707
perc_latent8,perc,latent8,10,forest,66,9403107,20.0,1.447579115402216,0.3494949494949494
perc_latent8,perc,latent8,10,forest,66,9403108,8.200000000000001,0.7470077684311772,0.0513131313131313
perc_latent8,perc,latent8,10,forest,66,9403109,7.800000000000001,1.373531619877589,0.501010101010101
perc_latent8,perc,latent8,10,forest,66,9403110,7.1000000000000005,1.4077967904661148,0.3004040404040404
perc_latent8,perc,latent8,10,forest,66,9403111,8.0,0.8984425522663444,0.0579797979797979
perc_latent8,perc,latent8,10,forest,66,9403112,18.7,0.5193126337804302,0.0523232323232323
perc_latent8,perc,latent8,10,forest,66,9403113,19.6,1.0190180917047067,0.1351515151515151
perc_latent8,perc,latent8,10,forest,66,9403114,13.0,1.3661212413433157,0.1597979797979798
perc_latent8,perc,latent8,10,forest,66,9403115,17.0,0.8341812642321065,0.06
pinn_latent8,pinn,latent8,1,gp,53,9403101,9.6,7.38960075378418,0.37
pinn_latent8,pinn,latent8,1,gp,53,9403102,15.0,1.380372405052185,1.0
pinn_latent8,pinn,latent8,1,gp,53,9403103,9.7,8.182266235351562,0.3894
